order_id,order_date,store_name,pay_method,deliver_date,landed_days,planned_days,cust_id,cust_name,cust_type,city,province,region,product_id,product,category,subcategory,sales,amount,discount,profit,manager,return,satisfied,dt
CN-2014-100017,2014/1/3,燎原店,支付宝,2014/1/5,2 ,2,Cust-17500,陈霖,消费者,温州,浙江,华东,Prod-10004142,Accos_按钉_整包,办公用品,系固件,1276.1,5,0,251.93,杨洪光,0,0,2014
CN-2014-100018,2014/1/3,燎原店,微信,2014/1/8,5 ,7,Cust-18505,黄娜,消费者,大同,山西,华北,Prod-10002763,Novimex_圆形标签_白色,办公用品,标签,84,2,0,16.83,张怡莲,1,0,2014
CN-2014-100026,2014/1/4,众兴店,微信,2014/1/10,6 ,5,Cust-12520,俞毅,消费者,江口,福建,华东,Prod-10003567,罗技_鼠标_回收,技术,配件,137.76,5,0.4,-4.32,王倩倩,0,1,2014
CN-2014-100027,2014/1/4,海恒店,其它,2014/1/10,6 ,8,Cust-12520,俞毅,消费者,江口,福建,华东,Prod-10000198,Rogers_盒_工业,办公用品,收纳具,215.46,3,0,12.82,王倩倩,0,1,2014
CN-2014-100030,2014/1/4,定远店,其它,2014/1/10,6 ,6,Cust-12775,卢芳,消费者,龙泉,云南,西南,Prod-10000678,Accos_按钉_金属,办公用品,系固件,131.32,2,0,45.39,杨洪光,0,0,2014
CN-2014-100028,2014/1/4,众兴店,信用卡,2014/1/10,6 ,6,Cust-18340,常明媚,消费者,阳江,广东,中南,Prod-10004228,Enermax_键盘_回收,技术,配件,77.868,3,0.4,-0.82,杨洪光,0,0,2014
CN-2014-100029,2014/1/4,海恒店,支付宝,2014/1/10,6 ,6,Cust-18340,常明媚,消费者,阳江,广东,中南,Prod-10004678,Eldon_闹钟_优质,家具,用具,115.92,3,0.4,-9.65,杨洪光,0,0,2014
CN-2014-100041,2014/1/6,杨店店,信用卡,2014/1/8,2 ,2,Cust-11980,林丹,消费者,沈阳,辽宁,东北,Prod-10004142,Accos_按钉_整包,办公用品,系固件,949.536,6,0.4,171.35,张怡莲,1,0,2014
CN-2014-100044,2014/1/6,人民店,其它,2014/1/9,3 ,3,Cust-17050,佘莲,消费者,平顶山,河南,中南,Prod-10000407,Sanford_速写本_混合尺寸,办公用品,美术,130.62,3,0,12.66,王倩倩,0,0,2014
CN-2014-100037,2014/1/6,庐江店,其它,2014/1/7,1 ,1,Cust-17500,陈霖,消费者,温州,浙江,华东,Prod-10000833,Acco_装订机_耐用,办公用品,装订机,182.28,3,0,39.17,王倩倩,0,0,2014
CN-2014-100038,2014/1/6,定远店,信用卡,2014/1/7,1 ,1,Cust-17500,陈霖,消费者,温州,浙江,华东,Prod-10002669,Breville_烤面包机_白色,办公用品,器具,379.26,3,0,24.69,王倩倩,0,0,2014
CN-2014-100042,2014/1/6,海恒店,支付宝,2014/1/9,3 ,3,Cust-18700,贺宁,消费者,秦皇岛,河北,华北,Prod-10000883,Rubvermaid_框架_耐用,家具,用具,151.872,4,0.4,-15.39,杨洪光,0,1,2014
CN-2014-100043,2014/1/6,人民店,其它,2014/1/9,3 ,3,Cust-20950,谢斯云,公司,湖州,浙江,华东,Prod-10001812,Harbour_Creations_折叠椅_可调,家具,椅子,682.92,5,0.4,-23.61,王倩倩,0,0,2014
CN-2014-100046,2014/1/6,临泉店,其它,2014/1/12,6 ,6,Cust-21490,贺伟,消费者,廊坊,河北,华北,Prod-10002567,Hoover_烤面包机_黑色,办公用品,器具,3434.76,9,0,217.92,杨洪光,0,0,2014
CN-2014-100047,2014/1/6,庐江店,其它,2014/1/12,6 ,6,Cust-21490,贺伟,消费者,廊坊,河北,华北,Prod-10000676,Sauder_墙角架_传统,家具,书架,2363.34,5,0.4,-94.06,郝杰,0,0,2014
CN-2014-100049,2014/1/7,临泉店,信用卡,2014/1/9,2 ,2,Cust-16090,苏磊,消费者,巢湖,安徽,华东,Prod-10000944,Stockwell_夹子_整包,办公用品,系固件,1458.24,4,0,102.28,王倩倩,0,0,2014
CN-2014-100054,2014/1/7,金寨店,微信,2014/1/12,5 ,6,Cust-17770,廖乐,消费者,保定,河北,华北,Prod-10004714,Smead_盒_单宽度,办公用品,收纳具,3819.564,2,0.1,186.51,郝杰,0,0,2014
CN-2014-100051,2014/1/7,众兴店,微信,2014/1/10,3 ,3,Cust-18700,贺宁,消费者,秦皇岛,河北,华北,Prod-10002814,Cardinal_打孔机_透明,办公用品,装订机,284.592,7,0.4,-7.98,杨洪光,0,0,2014
CN-2014-100052,2014/1/7,杨店店,信用卡,2014/1/10,3 ,3,Cust-18700,贺宁,消费者,秦皇岛,河北,华北,Prod-10000855,Fiskars_剪刀_钢,办公用品,用品,1700.16,1,0,137.86,杨洪光,0,0,2014
CN-2014-100053,2014/1/7,人民店,其它,2014/1/10,3 ,3,Cust-18700,贺宁,消费者,秦皇岛,河北,华北,Prod-10004278,Hamilton_Beach_搅拌机_白色,办公用品,器具,398.916,3,0.4,-9.09,杨洪光,0,0,2014
CN-2014-100048,2014/1/7,燎原店,支付宝,2014/1/9,2 ,2,Cust-21790,彭雯,消费者,齐齐哈尔,黑龙江,东北,Prod-10001067,罗技_闪存驱动器_实惠,技术,配件,1554.84,6,0,226.12,王倩倩,0,0,2014
CN-2014-100055,2014/1/8,临泉店,其它,2014/1/12,4 ,6,Cust-17770,廖乐,消费者,保定,河北,华北,Prod-10002499,Safco_墙角架_黑色,家具,书架,398.58,3,0,18.57,郝杰,0,1,2014
CN-2014-100056,2014/1/8,众兴店,微信,2014/1/12,4 ,6,Cust-17770,廖乐,消费者,保定,河北,华北,Prod-10004334,Rogers_锁柜_蓝色,办公用品,收纳具,824.88,2,0,181.18,郝杰,0,0,2014
CN-2014-100057,2014/1/8,众兴店,其它,2014/1/12,4 ,6,Cust-21100,柯婷,消费者,湛江,广东,中南,Prod-10001666,SanDisk_键区_回收,技术,配件,121.968,3,0.4,-14.92,郝杰,0,0,2014
CN-2014-100058,2014/1/8,临泉店,微信,2014/1/12,4 ,6,Cust-21100,柯婷,消费者,湛江,广东,中南,Prod-10004405,Avery_文件夹标签_白色,办公用品,标签,5908.14,9,0,455.56,郝杰,1,0,2014
CN-2014-100063,2014/1/9,燎原店,其它,2014/1/14,5 ,6,Cust-10285,涂安,公司,沈阳,辽宁,东北,Prod-10004035,Rogers_盘_蓝色,办公用品,收纳具,1496.88,3,0,133.91,杨洪光,1,0,2014
CN-2014-100060,2014/1/9,人民店,微信,2014/1/11,2 ,2,Cust-10840,吕婵娟,消费者,晋江,海南,中南,Prod-10004471,Kleencut_大剪刀_钢,办公用品,用品,695.8,5,0,72.76,张怡莲,0,0,2014
CN-2014-100064,2014/1/9,人民店,微信,2014/1/14,5 ,6,Cust-13510,麦虢,公司,钟祥,湖北,中南,Prod-10003859,Cuisinart_冰箱_白色,办公用品,器具,562.128,2,0.4,-49.8,郝杰,0,1,2014
CN-2014-100065,2014/1/9,庐江店,信用卡,2014/1/14,5 ,6,Cust-13510,麦虢,公司,钟祥,湖北,中南,Prod-10002318,贝尔金_键区_回收,技术,配件,1271.648,7,0.2,-73.64,郝杰,0,0,2014
CN-2014-100062,2014/1/9,海恒店,支付宝,2014/1/14,5 ,6,Cust-21505,邢伟,消费者,肃州,甘肃,西北,Prod-10002765,Novimex_可去除的标签_可调,办公用品,标签,2259.88,7,0,294.34,杨洪光,0,0,2014
CN-2014-100069,2014/1/10,人民店,信用卡,2014/1/15,5 ,6,Cust-20605,楚松,消费者,尚志,黑龙江,东北,Prod-10002804,Hon_电脑桌_白色,家具,桌子,341.6,5,0,27.35,杨洪光,0,0,2014
CN-2014-100073,2014/1/11,人民店,其它,2014/1/15,4 ,6,Cust-15415,戴康,消费者,天津,天津,华北,Prod-10000557,Sauder_搁架_金属,家具,书架,1714.44,13,0,161.38,张怡莲,0,0,2014
CN-2014-100077,2014/1/12,临泉店,支付宝,2014/1/17,5 ,3,Cust-16480,马丽娜,消费者,北京,北京,华北,Prod-10002532,Hon_椅垫_可调,家具,椅子,2034.9,3,0,125.14,郝杰,0,0,2014
CN-2014-100079,2014/1/12,定远店,其它,2014/1/19,7 ,6,Cust-20545,倪爽,公司,南昌,江西,华东,Prod-10000258,Harbour_Creations_文件夹标签_红色,办公用品,标签,183.54,5,0.4,-3.17,郝杰,0,0,2014
CN-2014-100088,2014/1/13,定远店,微信,2014/1/20,7 ,7,Cust-10795,任婵娟,公司,汉沽,天津,华北,Prod-10004519,罗技_鼠标_实惠,技术,配件,3664.92,3,0,259.27,姜伟,0,0,2014
CN-2014-100085,2014/1/13,杨店店,微信,2014/1/18,5 ,6,Cust-12325,唐栋,小型企业,海林,黑龙江,东北,Prod-10003583,Hon_圆形标签_红色,办公用品,标签,496.16,2,0,25.06,王倩倩,0,0,2014
CN-2014-100083,2014/1/13,金寨店,信用卡,2014/1/17,4 ,3,Cust-16765,郝立,消费者,寿光,山东,华东,Prod-10003676,Ibico_订书机_透明,办公用品,装订机,20871.06,7,0,472.93,郝杰,0,0,2014
CN-2014-100086,2014/1/13,金寨店,信用卡,2014/1/19,6 ,7,Cust-20545,倪爽,公司,南昌,江西,华东,Prod-10001318,GlobeWeis_搭扣信封_回收,办公用品,信封,607.6,5,0,151.19,王倩倩,0,0,2014
CN-2014-100081,2014/1/13,人民店,其它,2014/1/13,0 ,0,Cust-21490,贺伟,消费者,廊坊,河北,华北,Prod-10003207,Stanley_铅笔刀_金属,办公用品,美术,32.088,1,0.4,-4.11,王倩倩,0,0,2014
CN-2014-100082,2014/1/13,海恒店,其它,2014/1/13,0 ,1,Cust-21490,贺伟,消费者,廊坊,河北,华北,Prod-10002373,Stanley_画布_整包,办公用品,美术,586.152,6,0.4,-18.81,杨洪光,0,0,2014
CN-2014-100092,2014/1/14,海恒店,信用卡,2014/1/18,4 ,6,Cust-12325,唐栋,小型企业,海林,黑龙江,东北,Prod-10004327,Novimex_文件夹标签_可调,办公用品,标签,85.12,2,0,10.08,杨洪光,0,1,2014
CN-2014-100090,2014/1/14,人民店,其它,2014/1/17,3 ,3,Cust-14005,韩虎,小型企业,界首,安徽,华东,Prod-10001290,Ibico_装订机_透明,办公用品,装订机,252.84,2,0,44.85,郝杰,0,0,2014
CN-2014-100096,2014/1/14,燎原店,其它,2014/1/18,4 ,6,Cust-16480,马丽娜,消费者,北京,北京,华北,Prod-10003151,Novimex_凳子_每套两件,家具,椅子,2154.6,10,0,158.34,江奕健,0,0,2014
CN-2014-100091,2014/1/14,定远店,支付宝,2014/1/17,3 ,3,Cust-17380,施丽丽,公司,汶上,山东,华东,Prod-10004248,Fellowes_搁板_工业,办公用品,收纳具,456.4,4,0,41.09,郝杰,1,0,2014
CN-2014-100097,2014/1/14,众兴店,信用卡,2014/1/19,5 ,6,Cust-17950,方蔓楚,消费者,牡丹江,黑龙江,东北,Prod-10001526,Enermax_备忘录便条_回收,办公用品,纸张,1160.6,5,0,217.55,杨洪光,0,0,2014
CN-2014-100098,2014/1/14,金寨店,其它,2014/1/19,5 ,6,Cust-17950,方蔓楚,消费者,牡丹江,黑龙江,东北,Prod-10004671,Enermax_信纸_优质,办公用品,纸张,1162.98,3,0,177.62,王倩倩,0,0,2014
CN-2014-100102,2014/1/15,海恒店,信用卡,2014/1/20,5 ,7,Cust-10135,何安,小型企业,泰州,江苏,华东,Prod-10000983,三星_信号增强器_整包,技术,电话,928.368,9,0.2,55.59,姜伟,0,0,2014
CN-2014-100101,2014/1/15,众兴店,信用卡,2014/1/18,3 ,3,Cust-16480,马丽娜,消费者,北京,北京,华北,Prod-10004188,Smead_文件夹_蓝色,办公用品,收纳具,388.64,1,0,33.42,江奕健,0,1,2014
CN-2014-100109,2014/1/15,临泉店,支付宝,2014/1/20,5 ,5,Cust-18130,袁梅,公司,唐河,河南,中南,Prod-10000983,Smead_合法证物标签_耐用,办公用品,标签,3166.24,11,0,175.53,杨洪光,0,0,2014
CN-2014-100100,2014/1/15,杨店店,其它,2014/1/17,2 ,2,Cust-20605,楚松,消费者,尚志,黑龙江,东北,Prod-10002908,佳能_复印机_数字化,技术,复印机,1137.78,3,0,161.06,杨洪光,0,0,2014
CN-2014-100103,2014/1/15,众兴店,信用卡,2014/1/20,5 ,6,Cust-20650,付松,公司,烟台,山东,华东,Prod-10004865,诺基亚_智能手机_蓝色,技术,电话,3461.01,2,0.25,103.14,姜伟,0,0,2014
CN-2014-100112,2014/1/16,众兴店,微信,2014/1/20,4 ,6,Cust-13345,常光,公司,常德,湖南,中南,Prod-10001943,Stockwell_夹子_每包_12_个,办公用品,系固件,2074.24,8,0,224.99,杨洪光,0,0,2014
CN-2014-100110,2014/1/16,杨店店,其它,2014/1/19,3 ,3,Cust-14500,巩嘉丽,消费者,银川,宁夏,西北,Prod-10000222,Kleencut_开信刀_蓝色,办公用品,用品,352.8,7,0,32.53,杨洪光,0,0,2014
CN-2014-100113,2014/1/17,庐江店,信用卡,2014/1/22,5 ,3,Cust-11410,施奇,消费者,绵阳,四川,西南,Prod-10003676,Dania_墙角架_传统,家具,书架,774.2,7,0,140.23,姜伟,0,0,2014
CN-2014-100114,2014/1/17,人民店,支付宝,2014/1/22,5 ,3,Cust-11410,施奇,消费者,绵阳,四川,西南,Prod-10004535,佳能_墨水_彩色,技术,复印机,506.1,5,0,99.28,姜伟,0,0,2014
CN-2014-100116,2014/1/17,庐江店,信用卡,2014/1/22,5 ,6,Cust-14620,苏江丽,公司,成都,四川,西南,Prod-10004975,Fellowes_文件夹_工业,办公用品,收纳具,163.24,2,0,26.18,郝杰,0,0,2014
CN-2014-100121,2014/1/17,人民店,信用卡,2014/1/24,7 ,6,Cust-14890,马锦,公司,长春,吉林,东北,Prod-10002705,Sanford_荧光笔_蓝色,办公用品,美术,631.4,5,0,137.88,郝杰,0,0,2014
CN-2014-100119,2014/1/17,临泉店,微信,2014/1/24,7 ,6,Cust-15160,贾君,消费者,重庆,重庆,西南,Prod-10002717,Fiskars_剪刀_蓝色,办公用品,用品,219.8,1,0,37.29,杨洪光,0,0,2014
CN-2014-100120,2014/1/17,人民店,其它,2014/1/24,7 ,5,Cust-15160,贾君,消费者,重庆,重庆,西南,Prod-10002670,Tenex_门挡_黑色,家具,用具,65.24,1,0,19.69,王倩倩,0,0,2014
CN-2014-100117,2014/1/17,定远店,微信,2014/1/22,5 ,3,Cust-19360,柯强,消费者,北京,北京,华北,Prod-10000328,Green_Bar_备忘录便条_每包_12_个,办公用品,纸张,1083.04,4,0,182.73,杨洪光,0,0,2014
CN-2014-100118,2014/1/17,众兴店,信用卡,2014/1/22,5 ,3,Cust-19360,柯强,消费者,北京,北京,华北,Prod-10001476,Kraft_外皮和封条_红色,办公用品,信封,712.32,3,0,170.07,杨洪光,0,0,2014
CN-2014-100124,2014/1/18,临泉店,其它,2014/1/20,2 ,2,Cust-15235,罗君,消费者,天津,天津,华北,Prod-10001035,Bush_柜_金属,家具,书架,1476.636,1,0.4,-90.13,郝杰,1,0,2014
CN-2014-100125,2014/1/18,众兴店,信用卡,2014/1/20,2 ,2,Cust-15535,丁崆,消费者,成都,四川,西南,Prod-10000676,SAFCO_椅垫_可调,家具,椅子,10514.028,7,0.4,476.42,郝杰,0,0,2014
CN-2014-100126,2014/1/18,众兴店,微信,2014/1/20,2 ,2,Cust-16330,徐黎明,公司,新乡,河南,中南,Prod-10002920,贝尔金_键区_可编程,技术,配件,3663.744,2,0.4,-58.38,郝杰,0,0,2014
CN-2014-100122,2014/1/18,临泉店,其它,2014/1/20,2 ,2,Cust-16870,田立,消费者,宿州,安徽,华东,Prod-10001878,Rubvermaid_闹钟_黑色,家具,用具,822.024,2,0.4,136.75,杨洪光,0,0,2014
CN-2014-100123,2014/1/18,众兴店,微信,2014/1/20,2 ,2,Cust-16870,田立,消费者,宿州,安徽,华东,Prod-10003736,Deflect-O_分层置放架_优质,家具,用具,403.2,2,0.4,-4.46,王倩倩,0,0,2014
CN-2014-100127,2014/1/19,海恒店,信用卡,2014/1/21,2 ,2,Cust-19360,柯强,消费者,北京,北京,华北,Prod-10002636,Hon_椅垫_每套两件,家具,椅子,418.32,6,0,42.56,姜伟,0,0,2014
CN-2014-100135,2014/1/20,燎原店,信用卡,2014/1/25,5 ,6,Cust-10585,涂博,消费者,长沙,湖南,中南,Prod-10003822,KitchenAid_咖啡研磨机_红色,办公用品,器具,2340.8,10,0,173.97,郝杰,0,0,2014
CN-2014-100130,2014/1/20,庐江店,其它,2014/1/24,4 ,6,Cust-11410,施奇,消费者,绵阳,四川,西南,Prod-10004528,Bush_书库_白色,家具,书架,60.48,2,0,14.22,郝杰,0,0,2014
CN-2014-100131,2014/1/20,海恒店,其它,2014/1/24,4 ,6,Cust-11410,施奇,消费者,绵阳,四川,西南,Prod-10002837,Cuisinart_微波炉_白色,办公用品,器具,172.2,6,0,26.47,郝杰,0,0,2014
CN-2014-100138,2014/1/20,海恒店,支付宝,2014/1/25,5 ,6,Cust-14890,马锦,公司,长春,吉林,东北,Prod-10003132,Dania_古典书架_黑色,家具,书架,1744.68,6,0,154.75,姜伟,0,0,2014
CN-2014-100139,2014/1/20,人民店,支付宝,2014/1/25,5 ,6,Cust-14890,马锦,公司,长春,吉林,东北,Prod-10004988,Stanley_铅笔刀_混合尺寸,办公用品,美术,2488.5,9,0,160.82,王倩倩,0,0,2014
CN-2014-100128,2014/1/20,燎原店,其它,2014/1/24,4 ,6,Cust-15340,周康,消费者,南昌,江西,华东,Prod-10004336,Acco_装订机盖_实惠,办公用品,装订机,3622.5,3,0,183.13,郝杰,0,1,2014
CN-2014-100129,2014/1/20,杨店店,信用卡,2014/1/24,4 ,6,Cust-15340,周康,消费者,南昌,江西,华东,Prod-10000765,Wilson_Jones_孔加固材料_回收,办公用品,装订机,2287.88,2,0,178.76,郝杰,0,0,2014
CN-2014-100136,2014/1/20,定远店,微信,2014/1/25,5 ,6,Cust-17065,施莲,消费者,明月,吉林,东北,Prod-10002536,Fiskars_美工刀_锯齿状,办公用品,用品,781.06,7,0,100.04,郝杰,0,0,2014
CN-2014-100134,2014/1/20,燎原店,微信,2014/1/25,5 ,6,Cust-18190,薛梦,消费者,徐州,江苏,华东,Prod-10004812,Binney_&_Smith_铅笔刀_蓝色,办公用品,美术,435.4,5,0,14.09,郝杰,0,0,2014
CN-2014-100132,2014/1/20,人民店,信用卡,2014/1/25,5 ,6,Cust-18880,徐谙,消费者,北碚,重庆,西南,Prod-10003411,柯尼卡_电话_耐用,技术,设备,107.24,2,0,13.95,郝杰,0,0,2014
CN-2014-100133,2014/1/20,众兴店,其它,2014/1/25,5 ,6,Cust-21580,曹伟,消费者,桂林,广西,中南,Prod-10004119,Hoover_搅拌机_白色,办公用品,器具,2368.8,12,0,250.12,郝杰,0,0,2014
CN-2014-100145,2014/1/21,临泉店,支付宝,2014/1/27,6 ,6,Cust-10375,邓保,消费者,昆明,云南,西南,Prod-10002837,Cuisinart_微波炉_白色,办公用品,器具,341.796,1,0.4,-5.25,杨洪光,1,0,2014
CN-2014-100140,2014/1/21,临泉店,其它,2014/1/25,4 ,3,Cust-14890,马锦,公司,长春,吉林,东北,Prod-10003961,StarTech_电话_白色,技术,设备,199.5,5,0,15.05,江奕健,0,0,2014
CN-2014-100141,2014/1/21,临泉店,支付宝,2014/1/25,4 ,6,Cust-14890,马锦,公司,长春,吉林,东北,Prod-10002118,Avery_打孔机_透明,办公用品,装订机,40.6,1,0,0.97,姜伟,0,0,2014
CN-2014-100142,2014/1/21,金寨店,信用卡,2014/1/25,4 ,6,Cust-15160,贾君,消费者,重庆,重庆,西南,Prod-10002053,思科_耳机_全尺寸,技术,电话,508.62,7,0,125.95,王倩倩,0,0,2014
CN-2014-100147,2014/1/22,定远店,其它,2014/1/23,1 ,1,Cust-11410,施奇,消费者,绵阳,四川,西南,Prod-10004193,Rubvermaid_分层置放架_耐用,家具,用具,191.1,3,0,10.44,郝杰,1,0,2014
CN-2014-100149,2014/1/22,燎原店,其它,2014/1/26,4 ,6,Cust-12400,肖冬露,小型企业,延吉,吉林,东北,Prod-10003501,宜家_搁架_白色,家具,书架,507.08,1,0,105.75,张怡莲,0,0,2014
CN-2014-100150,2014/1/22,海恒店,信用卡,2014/1/26,4 ,6,Cust-18880,徐谙,消费者,北碚,重庆,西南,Prod-10003676,Hoover_烤面包机_红色,办公用品,器具,1580.74,7,0,190.99,张怡莲,0,0,2014
CN-2014-100152,2014/1/22,临泉店,信用卡,2014/1/29,7 ,6,Cust-19690,付荣,消费者,沈阳,辽宁,东北,Prod-10004983,Brother_复印机_每套两件,技术,复印机,2382.38,7,0,249.94,王倩倩,0,0,2014
CN-2014-100153,2014/1/22,庐江店,其它,2014/1/29,7 ,6,Cust-19690,付荣,消费者,沈阳,辽宁,东北,Prod-10004627,思科_充电器_整包,技术,电话,255.08,2,0,38.97,王倩倩,0,0,2014
CN-2014-100151,2014/1/22,众兴店,信用卡,2014/1/28,6 ,6,Cust-21010,孙斯云,消费者,宜昌,湖北,中南,Prod-10003967,Green_Bar_羊皮纸_多色,办公用品,纸张,352.8,6,0.2,40.06,杨洪光,0,0,2014
CN-2014-100154,2014/1/23,燎原店,其它,2014/1/27,4 ,4,Cust-11575,邱秋,公司,运城,山西,华北,Prod-10000480,Tenex_锁柜_蓝色,办公用品,收纳具,479.64,2,0,29.11,郝杰,0,0,2014
CN-2014-100155,2014/1/23,人民店,微信,2014/1/27,4 ,3,Cust-11575,邱秋,公司,运城,山西,华北,Prod-10000270,Novimex_凳子_黑色,家具,椅子,627.2,5,0,159.96,王倩倩,0,0,2014
CN-2014-100156,2014/1/23,临泉店,其它,2014/1/27,4 ,6,Cust-11575,邱秋,公司,运城,山西,华北,Prod-10001717,Boston_钢笔_混合尺寸,办公用品,美术,492.1,5,0,16.49,郝杰,0,0,2014
CN-2014-100157,2014/1/23,庐江店,支付宝,2014/1/27,4 ,6,Cust-12610,孔辉,公司,大连,辽宁,东北,Prod-10001943,佳能_传真机_红色,技术,复印机,897.12,8,0,72.25,郝杰,0,0,2014
CN-2014-100167,2014/1/24,金寨店,信用卡,2014/1/31,7 ,6,Cust-13360,蒋光,公司,常德,湖南,中南,Prod-10002493,Enermax_备忘录便条_优质,办公用品,纸张,1208.34,3,0,214.55,江奕健,0,0,2014
CN-2014-100162,2014/1/24,众兴店,其它,2014/1/26,2 ,2,Cust-14605,杨健,消费者,肃州,甘肃,西北,Prod-10002836,Avery_订书机_回收,办公用品,装订机,322,5,0,40.16,郝杰,0,0,2014
CN-2014-100161,2014/1/24,人民店,信用卡,2014/1/26,2 ,2,Cust-21580,曹伟,消费者,桂林,广西,中南,Prod-10003670,Rubvermaid_门挡_一包多件,家具,用具,212.1,3,0,33.79,郝杰,0,0,2014
